"Entity","NIF","Incorporation (t0)","Date of first intervention (t1)","Maximum Reported Investment (in t2)","Total FINOVA","N. Investors FINOVA","Total Increase in SC from 1st intervention (t1)","SC Final Intervention (in t2)","Total Increase SC (Inv)","NACE","Company not based in PT","Exit","Securities issued","Amount","Issuance date","Share Classes","N. Special Share Classes","Share nominal value","Number of shares","Percentage of special class shares","N. Investors (t2)","N. Investors (t2) Funds e Management Firms","N. Investors (t2) Other","Investors 1","Investors 2","Investors 3","Investors 4","Investors 5","Investors 6","Investors 7","Investors 8","Investors 9","Investors 10","Investors 11","Investors 12","Investors 13","Investors 14","Investors 15","Investors 16","Investors 17","Investors 18","Investors 19","Investors 20","Investors 21"
"XHOCKWARE, S.A.","510942571","2014","2014","1.12E+06","2.45E+05","1.00E+00","7.57E+04","7.57E+04","","J - Information and communication","","","no records","0.00E+00","0","Y","2.57E+06","1.00E-02","7.57E+06","3.40E-01","2.00E+00","1.00E+00","1.00E+00","FCR PV ACTEC","Busy Angels","","","","","","","","","","","","","","","","","","",""
"LASERLEAP TECHNOLOGIES,S.A.","509992544","2011","2013","4.30E+05","4.30E+05","1.00E+00","3.33E+04","5.83E+04","2.52E+04","M - Professional, scientific and technical activities","","","no records","0.00E+00","0","Y","2.52E+06","1.00E-02","5.83E+06","4.32E-01","3.00E+00","2.00E+00","1.00E+00","Busy Angels","FCR ISTART I","Hovione Capital, SCR S.A.","","","","","","","","","","","","","","","","","",""
"ECOFOOT, S.A.","510252362","2012","2013","6.60E+05","6.60E+05","2.00E+00","5.50E+03","7.21E+04","5.50E+03","C - Manufacturing","","","no records","0.00E+00","0","Y","1.57E+06","1.00E-02","7.21E+06","2.18E-01","2.00E+00","1.00E+00","1.00E+00","FCR ISTART I","TEX Risco, SGPS, SA","","","","","","","","","","","","","","","","","","",""
"EIDT - ENGENHARIA, INOVACAO E DESENVOLVIMENTO TECNOLOGICO, S.A.","509221785","2009","2012","3.50E+05","3.50E+05","1.00E+00","9.00E+04","1.50E+05","","F - Construction","","","no records","0.00E+00","0","Y","0.00E+00","5.00E+00","3.00E+04","0.00E+00","2.00E+00","1.00E+00","1.00E+00","FCR FAST Change II","Grupo EDP","","","","","","","","","","","","","","","","","","",""
"CELL2B - ADVANCED THERAPEUTICS, S.A.","509687040","2011","2012","1.27E+06","1.74E+06","3.00E+00","4.04E+04","5.60E+04","3.95E+04","M - Professional, scientific and technical activities","","","no records","0.00E+00","0","N","0.00E+00","8.40E-01","6.67E+04","0.00E+00","7.00E+00","2.00E+00","5.00E+00","FCR FAST Change II","Shilling Capital Partners, Lda","Magnum Capital Partners","Vallis  SGPS, S.A.","SharkAB Consultores, Lda","Biocant Associacao","FCR Revitalizar Centro","","","","","","","","","","","","","",""
"CONVERDE, S.A.","509720765","2011","2012","1.00E+06","1.00E+06","1.00E+00","1.25E+04","6.25E+04","","C - Manufacturing","","","no records","0.00E+00","0","Y","2.49E+06","1.00E-02","6.25E+06","3.99E-01","2.00E+00","2.00E+00","0.00E+00","Fast Change","FCR FAST Change II","","","","","","","","","","","","","","","","","","",""
"5ENSESINFOOD, S.A.","510257127","2012","2013","1.00E+06","1.00E+06","3.00E+00","4.90E+05","5.65E+05","4.90E+05","C - Manufacturing","","","no records","0.00E+00","0","N","0.00E+00","0.00E+00","0.00E+00","0.00E+00","3.00E+00","1.00E+00","2.00E+00","FCR FAST Change II","BrainInvest","IA - FCI - Ciencias da Vida","","","","","","","","","","","","","","","","","",""
"NMUSIC S.A.","509280285","2010","2013","4.50E+06","4.50E+06","1.00E+00","6.78E+03","6.78E+04","","J - Information and communication","","","Bonds","4.00E+06","2014","N","0.00E+00","1.00E+00","6.78E+04","0.00E+00","2.00E+00","1.00E+00","1.00E+00","Pathena","FCR Revitalizar Norte","","","","","","","","","","","","","","","","","","",""
"THELIAL TECHNOLOGIES S.A.","509066569","2009","2010","3.60E+05","1.79E+05","1.00E+00","7.00E+04","1.36E+05","","M - Professional, scientific and technical activities","","","no records","0.00E+00","0","Y","5.00E+03","1.00E+00","1.36E+05","3.68E-02","2.00E+00","1.00E+00","1.00E+00","FCR Portugal Ventures ACTEC II","Biocant Ventures","","","","","","","","","","","","","","","","","","",""
"MUZZLEY, S.A.","510354050","2012","2012","1.89E+06","3.00E+05","1.00E+00","2.94E+04","8.44E+04","1.96E+05","J - Information and communication","","","no records","0.00E+00","0","Y","4.44E+06","1.00E-02","8.44E+06","5.26E-01","4.00E+00","3.00E+00","1.00E+00","FCR Istart I","Fundo de Capital de Risco Portugal Ventures Valor 2","Plug & Play Accelarator","ESV III","","","","","","","","","","","","","","","","",""
"EPEDAL, SGPS S.A.","508077036","2007","2015","2.50E+06","2.50E+06","2.00E+00","1.32E+04","8.78E+04","1.32E+04","K - Financial and insurance activities","","","no records","0.00E+00","0","N","0.00E+00","5.00E+00","1.76E+04","0.00E+00","2.00E+00","2.00E+00","0.00E+00","FCR Portugal Ventures Internacionalizacao","FCR PME / Novo Banco","","","","","","","","","","","","","","","","","","",""
"QAMINE PORTUGAL, S.A","510815120","2013","2013","5.00E+05","2.75E+05","1.00E+00","4.27E+05","4.27E+05","","J - Information and communication","","","no records","0.00E+00","0","Y","4.22E+07","1.00E-02","4.27E+07","9.88E-01","2.00E+00","1.00E+00","1.00E+00","FABER VENTURES, S.A.","FCR Istart I","","","","","","","","","","","","","","","","","","",""
"QAMINE LIMITED","8374290","2013","2015","8.25E+05","0.00E+00","0.00E+00","5.87E+00","1.44E+01","","J - Information and communication","","","no records","0.00E+00","0","UK LLC","","UK LLC","0.00E+00","0.00E+00","8.00E+00","2.00E+00","6.00E+00","FABER VENTURES, S.A. (via QAMINE PORTUGAL, S.A)","ISTART - I","Seedcamp","Caixa Capital","Faber Ventures","Henrique de Castro","Join Capital","Undisclosure Angel Investment","","","","","","","","","","","","",""
"JSCRAMBLER, S.A.","508268516","2007","2013","1.30E+06","1.30E+06","1.00E+00","9.01E+04","9.51E+04","2.56E+04","J - Information and communication","","","no records","0.00E+00","0","Y","2.56E+06","1.00E-02","9.51E+06","2.69E-01","1.00E+00","1.00E+00","0.00E+00","FCR Portugal Ventures Internacionalizacao","","","","","","","","","","","","","","","","","","","",""
"PETSYS ELECTRONICS - MEDICAL PET DETECTORS,","510861679","2013","2013","9.15E+05","9.15E+05","1.00E+00","1.35E+05","4.54E+05","","M - Professional, scientific and technical activities","","","no records","0.00E+00","0","N","0.00E+00","1.00E-02","4.54E+07","0.00E+00","3.00E+00","2.00E+00","1.00E+00","FCR Portugal Ventures Early Stage","FCR Portugal Ventures Universitas","Universidade do Porto","","","","","","","","","","","","","","","","","",""
"ICLIO, S.A.","508991390","2009","2014","1.65E+06","1.37E+06","2.00E+00","5.33E+04","5.83E+04","2.33E+04","J - Information and communication","","","no records","0.00E+00","0","Y","2.33E+06","1.00E-02","5.83E+06","4.00E-01","2.00E+00","1.00E+00","1.00E+00","FCR Portugal Ventures Turismo Inovacao","Busy Angels","","","","","","","","","","","","","","","","","","",""
"FRIDAY: CIENCIA E ENGENHARIA DO LAZER, S.A.","510445276","2012","2014","1.20E+06","1.00E+06","1.00E+00","6.22E+04","6.42E+04","1.46E+04","G - Wholesale and retail trade, repair of motor vehicles and motorcycles","","","no records","0.00E+00","0","Y","2.02E+06","1.00E-02","6.42E+06","3.15E-01","1.00E+00","1.00E+00","0.00E+00","FCR Portugal Ventures Turismo Inovacao","","","","","","","","","","","","","","","","","","","",""
"FAIRWAY, MEDICAL TOURISM PORTUGAL, S.A.","510603556","2013","2013","6.20E+05","6.20E+05","3.00E+00","1.00E+05","1.01E+05","","J - Information and communication","","","no records","0.00E+00","0","Y","5.91E+06","1.00E-02","1.01E+07","5.88E-01","3.00E+00","1.00E+00","2.00E+00","FCR Portugal Ventures Turismo Inovacao","Busy Angels","Eggnest","","","","","","","","","","","","","","","","","",""
"MAGNOMICS, S.A.","510646778","2013","2014","2.20E+05","1.64E+05","2.00E+00","3.33E+05","3.34E+06","1.32E+05","M - Professional, scientific and technical activities","","","no records","0.00E+00","0","N","0.00E+00","1.00E-02","3.34E+08","0.00E+00","5.00E+00","2.00E+00","3.00E+00","Fundo de Capital de Risco Beta Ciencias da Vida","PNV Capital","Fundo de Capital de Risco Portugal Ventures","INESC ID Instituto de Engenharia de Sistemas e Computadores, Investigacao e Desenvolvimento em Lisboa","NESC Microsistemas e Nanotecnologias  Instituto de engenharia de Sistemas e Computadores para os Microsistemas e as Nanotecnologias","","","","","","","","","","","","","","","",""
"WEDELIVERAWESOMEAPPS, S.A.","510804519","2013","2014","1.73E+06","1.73E+06","1.00E+00","6.28E+04","6.28E+04","2.04E+04","J - Information and communication","","","no records","0.00E+00","0","Y","7.66E+05","1.00E-02","6.28E+06","1.22E-01","1.00E+00","1.00E+00","0.00E+00","Fundo de Capital de Risco Turismo Inovacao FCR","","","","","","","","","","","","","","","","","","","",""
"AMANHA GLOBAL, S.A.","510824625","2013","2014","6.50E+05","4.50E+05","1.00E+00","6.52E+04","6.77E+04","2.87E+04","J - Information and communication","","","no records","0.00E+00","0","Y","2.87E+06","1.00E-02","6.77E+06","4.24E-01","2.00E+00","1.00E+00","1.00E+00","Fundo de Capital de Risco Portugal Ventures Early Stage","Indexingnition Investimentos e Consultoria, Lda","","","","","","","","","","","","","","","","","","",""
"KINEMATIX SENSE, S.A.","507896068","2007","2008","6.50E+06","1.50E+06","1.00E+00","8.93E+05","8.37E+05","8.84E+05","C - Manufacturing","","","no records","0.00E+00","0","Y","5.39E+07","1.00E-02","8.37E+07","6.45E-01","4.00E+00","2.00E+00","2.00E+00","FCR Portugal Ventures Internacionalizacao","Inesc Porto","FCR InovCapital","CIENCIVEST, VALORIZACAO ECONOMICA DA CIENCIA, S.A.","","","","","","","","","","","","","","","","",""
"MOODOPTIC, S.A.","507798325","2006","2014","1.17E+06","1.17E+06","1.00E+00","1.39E+05","3.19E+05","9.71E+04","G - Wholesale and retail trade, repair of motor vehicles and motorcycles","","","no records","0.00E+00","0","Y","9.71E+06","1.00E-02","3.19E+07","3.04E-01","1.00E+00","1.00E+00","0.00E+00","FCR Portugal Ventures Internacionalizacao","","","","","","","","","","","","","","","","","","","",""
"MAPS WITH LIFE, S.A. - EM LIQUIDACAO","510740480","2013","2013","3.85E+05","3.85E+05","2.00E+00","7.84E+04","7.84E+04","","J - Information and communication","","","no records","0.00E+00","0","N","4.24E+06","1.00E-02","7.84E+06","5.41E-01","2.00E+00","1.00E+00","1.00E+00","FCR Portugal Ventures Turismo Inovacao","PNV Capital","","","","","","","","","","","","","","","","","","",""
"TURFLYNX, LDA","513233989","2014","2014","3.00E+05","3.00E+05","1.00E+00","3.79E+03","8.79E+03","3.79E+03","M - Professional, scientific and technical activities","","","no records","0.00E+00","0","N - LLC","0.00E+00","N - LLC","0.00E+00","0.00E+00","2.00E+00","1.00E+00","1.00E+00","Fundo ASK Capital","MERMAID INVESTMENTS B.V.","","","","","","","","","","","","","","","","","","",""
"ECT - BUSINESS OPORTUNITY, COMPRA E VENDA DE VIATURAS, LDA","510064256","2014","2014","4.00E+05","4.00E+05","1.00E+00","1.67E+03","6.67E+03","1.67E+03","G - Wholesale and retail trade, repair of motor vehicles and motorcycles","","","no records","0.00E+00","0","N - LLC","0.00E+00","N - LLC","0.00E+00","0.00E+00","1.00E+00","1.00E+00","0.00E+00","Fundo ASK Capital","","","","","","","","","","","","","","","","","","","",""
"WISE CONNECT S.A.","513112146","2014","2014","3.50E+05","3.50E+05","1.00E+00","4.40E+04","5.00E+04","1.80E+04","J - Information and communication","","","no records","0.00E+00","0","Y","1.25E+05","1.00E-01","5.00E+05","2.50E-01","1.00E+00","1.00E+00","0.00E+00","FCR Minho Inovacao e Internacionalizacao","","","","","","","","","","","","","","","","","","","",""
"GUM CHEMICAL SOLUTIONS, S.A.","510551890","2013","2015","1.00E+06","1.00E+06","1.00E+00","7.92E+03","7.04E+04","7.92E+03","C - Manufacturing","","","no records","0.00E+00","0","N","0.00E+00","1.00E+00","7.04E+04","0.00E+00","1.00E+00","1.00E+00","0.00E+00","FCR Ask Celta","","","","","","","","","","","","","","","","","","","",""
"TOP RESEARCH, S.A.","509841686","2012","2015","9.30E+05","9.30E+05","2.00E+00","3.68E+04","6.08E+04","2.08E+04","M - Professional, scientific and technical activities","","","no records","0.00E+00","0","Y","2.08E+06","1.00E-02","6.08E+06","3.43E-01","2.00E+00","2.00E+00","0.00E+00","FCR Portugal Ventures ACTEC II","FCR Minho Inovacao e Internacionalizacao","","","","","","","","","","","","","","","","","","",""
"BULLET SOLUTIONS - SISTEMAS DE INFORMACAO S.A.","507491300","2006","2015","5.20E+05","5.20E+05","1.00E+00","3.89E+04","1.89E+07","3.89E+04","J - Information and communication","","","no records","0.00E+00","0","Y","3.89E+06","1.00E-02","1.89E+09","2.06E-03","1.00E+00","1.00E+00","0.00E+00","FCR Portugal Ventures ACTEC II","","","","","","","","","","","","","","","","","","","",""
"PEPFEED, S,A","510820484","2013","2015","2.50E+05","2.50E+05","1.00E+00","5.26E+04","5.51E+04","1.20E+04","J - Information and communication","","","no records","0.00E+00","0","Y","1.20E+06","1.00E-02","5.51E+06","2.17E-01","1.00E+00","1.00E+00","0.00E+00","FCR Portugal Ventures Universitas","","","","","","","","","","","","","","","","","","","",""
"MYGON, S.A.","510005420","2011","2012","7.00E+05","7.00E+05","1.00E+00","6.02E+05","1.96E+05","6.82E+04","M - Professional, scientific and technical activities","","","no records","0.00E+00","0","Y","1.08E+07","1.00E-02","1.96E+07","5.50E-01","5.00E+00","1.00E+00","4.00E+00","FCR Portugal Ventures Turismo Inovacao","AFSA SGPS, S.A","EntreParentesis SGPS,S.A.","B31 Investimentos, Lda","Innovation Makers servicos de Consultoria em Inovacao, Lda","","","","","","","","","","","","","","","",""
"IMMUNETHEP, S.A.","510824439","2013","2015","7.50E+05","7.50E+05","1.00E+00","5.61E+04","5.71E+04","3.86E+04","M - Professional, scientific and technical activities","","","no records","0.00E+00","0","Y","1.39E+06","1.00E-02","5.71E+06","2.43E-01","2.00E+00","1.00E+00","1.00E+00","FCR Portugal Ventures Biocant","Venture Catalysts, Lda","","","","","","","","","","","","","","","","","","",""
"WATT-IS, S.A.","510207715","2012","2015","4.00E+05","4.00E+05","1.00E+00","4.40E+04","5.00E+04","1.75E+04","M - Professional, scientific and technical activities","","","no records","0.00E+00","0","N","0.00E+00","1.00E-01","5.00E+05","0.00E+00","1.00E+00","1.00E+00","0.00E+00","FCR Minho Inovacao e Internacionalizacao","","","","","","","","","","","","","","","","","","","",""
"WEBANKOR, S.A.","510060625","2012","2013","6.00E+05","6.00E+05","2.00E+00","1.34E+05","1.62E+05","4.07E+04","J - Information and communication","","","no records","0.00E+00","0","Y","3.45E+06","1.00E-02","1.62E+07","2.12E-01","3.00E+00","1.00E+00","2.00E+00","FCR Portugal Ventures Early Stage","PNV Capital","Busy Angels","","","","","","","","","","","","","","","","","",""
"POSSIBLE ANSWER , S.A","513140603","2014","2015","3.53E+05","3.53E+05","1.00E+00","8.68E+04","8.81E+04","2.58E+04","M - Professional, scientific and technical activities","","","no records","0.00E+00","0","Y","2.58E+06","1.00E-02","8.81E+06","2.93E-01","1.00E+00","1.00E+00","0.00E+00","FCR Portugal Ventures ACTEC II","","","","","","","","","","","","","","","","","","","",""
"BEYONDEVICES, S.A.","510224954","2012","2015","4.60E+05","4.60E+05","1.00E+00","6.90E+04","7.00E+04","2.00E+04","C - Manufacturing","","","no records","0.00E+00","0","N","0.00E+00","1.00E-02","7.00E+06","0.00E+00","2.00E+00","1.00E+00","1.00E+00","FCR Portugal Ventures Internacionalizacao","NEUTROPLAST INDUSTRIA DE EMBALAGENS PLASTICAS S.A.","","","","","","","","","","","","","","","","","","",""
"FOLLOW INSPIRATION, S.A.","510154212","2012","2014","8.00E+05","8.00E+05","2.00E+00","6.88E+04","7.38E+04","4.12E+04","J - Information and communication","","","no records","0.00E+00","0","Y","2.56E+06","1.00E-02","7.38E+06","3.47E-01","2.00E+00","1.00E+00","1.00E+00","Portugal Ventures","TIC Risco, SGPS, SA","","","","","","","","","","","","","","","","","","",""
"PETAPILOT, S.A.","510961304","2014","2015","5.00E+05","5.00E+05","1.00E+00","1.25E+04","6.25E+04","1.25E+04","J - Information and communication","","","no records","0.00E+00","0","N","0.00E+00","1.00E+00","6.25E+04","0.00E+00","1.00E+00","1.00E+00","0.00E+00","Fundo ASK Celta","","","","","","","","","","","","","","","","","","","",""
"CUBO ENVIRONMENTAL TECHNOLOGIES, S.A.","513093893","2014","2015","3.10E+05","3.10E+05","1.00E+00","1.41E+05","1.46E+05","4.62E+04","C - Manufacturing","","","no records","0.00E+00","0","Y","4.62E+06","1.00E-02","1.46E+07","3.16E-01","1.00E+00","1.00E+00","0.00E+00","FCR Portugal Ventures Early Stage","","","","","","","","","","","","","","","","","","","",""
"GRAPHENEST, S.A.","513542850","2015","2015","2.50E+05","2.50E+05","1.00E+00","5.82E+04","5.82E+04","3.30E+03","C - Manufacturing","","","no records","0.00E+00","0","Y","8.24E+05","1.00E-02","5.82E+06","1.42E-01","1.00E+00","1.00E+00","0.00E+00","FCR Portugal Ventures Internacionalizacao","","","","","","","","","","","","","","","","","","","",""
"MORNING HEROES S.A.","513603980","2015","2015","7.00E+05","7.00E+05","1.00E+00","1.27E+05","1.27E+05","2.85E+04","J - Information and communication","","","no records","0.00E+00","0","Y","2.19E+06","1.00E-02","1.27E+07","1.72E-01","3.00E+00","1.00E+00","2.00E+00","FCR Portugal Ventures Early Stage","Global Accelerator Year 3 B.V","Plopper B.V. ","","","","","","","","","","","","","","","","","",""
"MICE - MOLDS AND INJECTED COMPONENTS ENGINEERING, S.A.","510662790","2013","2015","5.00E+04","5.00E+04","1.00E+00","6.69E+04","7.70E+04","2.70E+04","M - Professional, scientific and technical activities","","","no records","0.00E+00","0","Y","2.70E+06","1.00E-02","7.70E+06","3.51E-01","1.00E+00","1.00E+00","0.00E+00","FCR Portugal Ventures ACTEC II","","","","","","","","","","","","","","","","","","","",""
"BLOOMERS, S.A.","510803601","2013","2015","4.50E+05","4.50E+05","1.00E+00","2.04E+05","2.09E+05","5.40E+04","M - Professional, scientific and technical activities","","","no records","0.00E+00","0","Y","2.40E+06","1.00E-02","2.09E+07","1.15E-01","1.00E+00","1.00E+00","0.00E+00","FCR Portugal Ventures Internacionalizacao","","","","","","","","","","","","","","","","","","","",""
"FASTINOV, S.A.","510740898","2013","2015","3.75E+05","3.00E+05","1.00E+00","8.78E+04","9.08E+04","3.28E+04","M - Professional, scientific and technical activities","","","no records","0.00E+00","0","Y","2.63E+06","1.00E-02","9.08E+06","2.90E-01","2.00E+00","1.00E+00","1.00E+00","Busy Angels","FCR Istart I","","","","","","","","","","","","","","","","","","",""
"PEEK HEALTH, S.A.","513369686","2015","2015","4.00E+05","4.00E+05","1.00E+00","5.10E+04","5.20E+04","8.84E+03","J - Information and communication","","","no records","0.00E+00","0","Y","8.71E+05","1.00E-02","5.20E+06","1.68E-01","2.00E+00","1.00E+00","1.00E+00","FCR Portugal Ventures Biocant","Skybusiness, S.A.","","","","","","","","","","","","","","","","","","",""
"SWORD HEALTH, S.A","510675565","2013","2014","8.00E+05","8.00E+05","3.00E+00","4.55E+04","5.26E+04","5.96E+03","C - Manufacturing","","","no records","0.00E+00","0","Y","1.86E+04","1.00E+00","5.26E+04","3.54E-01","3.00E+00","1.00E+00","2.00E+00","FCR Fast Change II","BrainCapital","New Ventures SGPS, SA","","","","","","","","","","","","","","","","","",""
"EXOGENUS THERAPEUTICS, S.A.","513553142","2015","2015","9.00E+05","2.50E+05","1.00E+00","5.90E+04","6.00E+04","","M - Professional, scientific and technical activities","","","no records","0.00E+00","0","Y","1.50E+04","1.00E+00","6.00E+04","2.50E-01","2.00E+00","2.00E+00","0.00E+00","Caixa Capital","FCR Fast Change II","","","","","","","","","","","","","","","","","","",""
"LUZITIN, S.A.","508853702","2009","2011","3.20E+05","3.20E+05","1.00E+00","0.00E+00","5.00E+04","0.00E+00","M - Professional, scientific and technical activities","","","no records","0.00E+00","0","N","0.00E+00","5.00E+00","1.00E+04","0.00E+00","1.00E+00","1.00E+00","0.00E+00","FCR Portugal Ventures Biocant","","","","","","","","","","","","","","","","","","","",""
"CHANGING EXPERIENCE, S.A.","510098371","2011","2013","1.39E+06","8.33E+05","2.00E+00","4.21E+04","5.00E+04","1.19E+04","J - Information and communication","","FUNDO DE CAPITAL DE RISCO EMPREENDER MAIS CAIXA CAPITAL","no records","0.00E+00","0","Y","7.27E+05","1.00E-02","5.00E+06","1.45E-01","6.00E+00","3.00E+00","3.00E+00","BGI SA","FCR Portugal Ventures ACTEC II","SMARTEQUITY SGPS, LDA","INTERCAPITAL INVESTIMENTOS E GESTAO DE ACTIVOS, S.A","FUNDO DE CAPITAL DE RISCO EMPREENDER MAIS CAIXA CAPITAL","FUNDO DE CAPITAL DE RISCO CAIXA TECH TRANSFER ACCELERATOR VENTURES","","","","","","","","","","","","","","",""
"CARDMOBILI DESENVOLVIMENTO DE SOFTWARE, S.A.","508559588","2008","2013","1.15E+06","1.15E+06","1.00E+00","2.50E+04","7.50E+04","2.50E+04","J - Information and communication","","","no records","0.00E+00","0","N","0.00E+00","1.00E+00","7.50E+04","0.00E+00","2.00E+00","1.00E+00","1.00E+00","Pathena","FCR Capital Criativo I","","","","","","","","","","","","","","","","","","",""
"FUNCTIONAL ENVIROMICS TECHNOLOGIES, S.A.","510238068","2012","2013","4.10E+05","4.10E+05","1.00E+00","1.03E+05","1.03E+05","3.03E+04","M - Professional, scientific and technical activities","","","no records","0.00E+00","0","Y","3.03E+06","1.00E-02","1.03E+07","2.95E-01","1.00E+00","1.00E+00","0.00E+00","FCR Portugal Ventures Universitas","","","","","","","","","","","","","","","","","","","",""
"ZARPH, S.A.","508949270","2009","2013","3.63E+05","3.63E+05","1.00E+00","7.85E+04","8.20E+04","5.50E+04","M - Professional, scientific and technical activities","","","no records","0.00E+00","0","Y","2.49E+06","1.00E-02","8.20E+06","3.04E-01","3.00E+00","1.00E+00","2.00E+00","FCR Portugal Ventures ACTEC II","Agro Consultores,Lda","Talent Minds,Lda","","","","","","","","","","","","","","","","","",""
"E.A.D. - EMPRESA DE ARQUIVO DE DOCUMENTACAO S.A.","507616944","2006","2014","2.00E+06","2.00E+06","1.00E+00","2.08E+05","1.16E+06","2.08E+05","N - Administrative and support service activities","","","no records","0.00E+00","0","N","0.00E+00","5.00E+00","2.32E+05","0.00E+00","1.00E+00","1.00E+00","0.00E+00","FCR Capital Criativo I","","","","","","","","","","","","","","","","","","","",""
"BALFLEX PORTUGAL - COMPONENTES HIDRAULICOS E INDUSTRIAIS S.A.","500772738","2010","2014","3.00E+06","3.00E+06","1.00E+00","2.01E+06","5.75E+06","","C - Manufacturing","","","no records","0.00E+00","0","N","0.00E+00","5.00E+00","1.15E+06","0.00E+00","1.00E+00","1.00E+00","0.00E+00","FCR Capital Criativo I","","","","","","","","","","","","","","","","","","","",""
"ZUVI NOVA, S.A.","508993970","2009","2011","4.02E+05","4.02E+05","3.00E+00","1.01E+05","1.65E+05","","J - Information and communication","","","no records","0.00E+00","0","N","0.00E+00","1.00E-02","1.65E+07","0.00E+00","4.00E+00","1.00E+00","3.00E+00","Portugal Ventures","Brains2Market","Busy Angels","PNV Capital","","","","","","","","","","","","","","","","",""
"FABER VENTURES, S.A.","510346812","2012","2013","1.04E+06","1.04E+06","5.00E+00","3.53E+06","4.89E+06","","J - Information and communication","","","no records","0.00E+00","0","Y","4.89E+06","1.00E+00","4.89E+06","1.00E+00","5.00E+00","0.00E+00","5.00E+00","Busy Angels","PNV Capital","Shilling Capital Partners, Lda","Tagus Innovation for Growth SGPS, SA","Sail Away, Lda","","","","","","","","","","","","","","","",""
"UNIVERSITYPLACES, SERVICOS DE INTERNET, LDA","509955061","2011","2012","2.00E+05","1.50E+05","1.00E+00","3.03E+03","8.34E+03","3.03E+03","J - Information and communication","","2013, share swap to UK LLC","no records","0.00E+00","0","N - LLC","0.00E+00","N - LLC","0.00E+00","0.00E+00","4.00E+00","0.00E+00","4.00E+00","UNIPLACES LIMITED","Shilling Capital Partners, Lda","Alex Chesterman","William Reeve","","","","","","","","","","","","","","","","",""
"UNIPLACES LIMITED","8674633","2013","2013","2.24E+07","0.00E+00","0.00E+00","2.39E+03","2.39E+03","","J - Information and communication","","","no records","0.00E+00","0","UK LLC","8.74E+06","UK LLC","0.00E+00","0.00E+00","7.00E+00","1.00E+00","6.00E+00","Caixa Capital","Shilling Capital","Atomico","Octopus Ventures","Alex Chesterman","William Reeve","Rob McClatchey","","","","","","","","","","","","","",""
"CHIC BY CHOICE, S.A.","510985530","2014","2014","2.00E+06","0.00E+00","0.00E+00","1.35E+05","1.35E+05","","G - Wholesale and retail trade, repair of motor vehicles and motorcycles","","","no records","0.00E+00","0","Y","4.50E+06","1.00E-02","1.35E+07","3.33E-01","3.00E+00","1.00E+00","2.00E+00","FABER VENTURES, S.A.","Portugal Ventures","Edge Group","","","","","","","","","","","","","","","","","",""
"ADVANCED CYCLONE SYSTEMS, S.A.","508482917","2008","2009","1.50E+06","0.00E+00","0.00E+00","3.33E+04","8.33E+04","3.33E+04","G - Wholesale and retail trade, repair of motor vehicles and motorcycles","","","no records","0.00E+00","0","Y","3.33E+04","1.00E+00","8.33E+04","4.00E-01","1.00E+00","1.00E+00","0.00E+00","ESV III","","","","","","","","","","","","","","","","","","","",""
"MOVVO, S.A.","508977754","2009","2011","7.38E+06","0.00E+00","0.00E+00","7.12E+04","8.62E+04","","J - Information and communication","","","no records","0.00E+00","0","Y","5.40E+04","1.00E+00","8.62E+04","6.27E-01","4.00E+00","1.00E+00","3.00E+00","FCR Empreender mais","SONAE IM","Dueto SGPS","BGI SA","","","","","","","","","","","","","","","","",""
"BICA STUDIOS, S.A.","510781845","2013","2015","3.00E+05","0.00E+00","0.00E+00","4.52E+05","4.58E+05","1.12E+05","J - Information and communication","","","no records","0.00E+00","0","Y","1.12E+07","1.00E-02","4.58E+07","2.44E-01","1.00E+00","1.00E+00","0.00E+00","Fundo de Capital de Risco Portugal Ventures Global 2","","","","","","","","","","","","","","","","","","","",""
"COREWORKS - PROJECTOS DE CIRCUITOS E SISTEMAS ELECTRONICOS, S.A.","505298503","2006","2006","","0.00E+00","0.00E+00","4.97E+04","5.00E+04","3.50E+04","C - Manufacturing","","","no records","0.00E+00","0","N","0.00E+00","1.00E-02","5.00E+06","0.00E+00","2.00E+00","1.00E+00","1.00E+00","ESV II","Inesc ID Instituto de Engenharia de Sistemas e Computadores, Investigacao e Desenvolvimento","","","","","","","","","","","","","","","","","","",""
"DOMATICA GLOBAL SOLUTIONS, S.A.","506131610","2005","2011","","0.00E+00","0.00E+00","9.13E+04","9.63E+04","","J - Information and communication","","","no records","0.00E+00","0","Y","4.54E+06","1.00E-02","9.63E+06","4.71E-01","1.00E+00","1.00E+00","0.00E+00","ESV III","","","","","","","","","","","","","","","","","","","",""
"BERD - PROJECTO, INVESTIGACAO E ENGENHARIA DE PONTES S.A.","507455509","2006","2006","1.02E+06","1.02E+06","1.00E+00","6.03E+06","7.61E+06","","M - Professional, scientific and technical activities","","","no records","0.00E+00","0","N","0.00E+00","1.00E+00","7.61E+06","0.00E+00","5.00E+00","3.00E+00","2.00E+00","FCR ES Ventures Inovacao & Internacionalizacao","Fundo de Capital de Risco AICEP Capital Global Grande Projectos de Investimento","Mota Engil, Engenharia e Construcao , S. A.","Universidade do Porto","Fundo de Capital de Risco AICEP Capital Global III","","","","","","","","","","","","","","","",""
